 Marginal cost per stage per sub-system ($/MWh)
                                                                                                                                                      
 Stage,S1          
"2016/01",670.6667
"2016/02",670.6667
"2016/03",670.6667
"2016/04",670.6667
"2016/05",670.6667
"2016/06",670.6667
"2016/07",670.6667
"2016/08",670.6667
"2016/09",670.6667
"2016/10",670.6667
"2016/11",670.6667
"2016/12",670.6667
