Varies per block?       ,    0,Unit    ,       ,     2,     1,  2016
Varies per sequence?    ,    1
# of agents             ,    1
Stag,Seq.,Blck,Percentage  
   1,   1,   1,  92.431    
   2,   1,   1,  92.431    
   3,   1,   1,  92.431    
   4,   1,   1,  92.431    
   5,   1,   1,  92.431    
   6,   1,   1,  92.431    
   7,   1,   1,  92.431    
   8,   1,   1,  92.431    
   9,   1,   1,  92.431    
  10,   1,   1,  92.431    
  11,   1,   1,  92.431    
  12,   1,   1,  92.431    
