Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    1                                        
Stag,Seq.,Blck,S1                                                     
   8,   1,   6,  1.3983                                               
   8,   1,   7,  1.1341                                               
   8,   1,   8,  1.5519                                               
   8,   1,   9,  1.4720                                               
   8,   1,  10,  1.1783                                               
   8,   1,  11,  1.4229                                               
   8,   1,  12, 0.97162                                               
   8,   1,  13,  1.5138                                               
   8,   1,  14,  1.4487                                               
   8,   1,  15,  1.4603                                               
   8,   1,  16,  1.3141                                               
   8,   1,  17,  1.3683                                               
   8,   1,  18,  1.5029                                               
   8,   1,  19, 0.95441                                               
   8,   1,  20,  1.4792                                               
   8,   1,  21,  1.3729                                               
   8,   1,  22, 0.94488                                               
   8,   1,  23,  1.4766                                               
   8,   1,  24,  1.4731                                               
   9,   1,   1, 0.91440                                               
   9,   1,   2,  1.5019                                               
   9,   1,   3,  1.3286                                               
   9,   1,   4,  1.1659                                               
   9,   1,   5,  1.4132                                               
   9,   1,   6, 0.99472                                               
   9,   1,   7,  1.2780                                               
   9,   1,   8,  1.4650                                               
   9,   1,   9,  1.0975                                               
   9,   1,  10,  1.4409                                               
   9,   1,  11,  1.3532                                               
   9,   1,  12, 0.94028                                               
   9,   1,  13,  1.1403                                               
   9,   1,  14, 0.92362                                               
   9,   1,  15,  1.4315                                               
   9,   1,  16,  1.4020                                               
   9,   1,  17,  1.3770                                               
   9,   1,  18,  1.4290                                               
   9,   1,  19,  1.2717                                               
   9,   1,  20,  1.4256                                               
   9,   1,  21,  1.4544                                               
   9,   1,  22,  1.3241                                               
   9,   1,  23, 0.91575                                               
   9,   1,  24,  1.4245                                               
  10,   1,   1,  1.4889                                               
  10,   1,   2,  1.0279                                               
  10,   1,   3,  1.3206                                               
  10,   1,   4,  1.2048                                               
  10,   1,   5, 0.94627                                               
  10,   1,   6,  1.3983                                               
  10,   1,   7,  1.1341                                               
  10,   1,   8,  1.5519                                               
  10,   1,   9,  1.4720                                               
  10,   1,  10,  1.1783                                               
  10,   1,  11,  1.4229                                               
  10,   1,  12, 0.97162                                               
  10,   1,  13,  1.5138                                               
  10,   1,  14,  1.4487                                               
  10,   1,  15,  1.4603                                               
  10,   1,  16,  1.3141                                               
  10,   1,  17,  1.3683                                               
  10,   1,  18,  1.5029                                               
  10,   1,  19, 0.95441                                               
