 Generation (GWh) - S1          
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total

2016,H1          ,2.44776,2.10308,2.65081,2.19675,2.16753,2.75475,2.18179, 2.7652, 2.9178,2.80798,  1.308,2.67379,  28.97524
    ,H2          ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      

    ,Fuel1       ,17.9361,16.2004,17.9361,17.3576,17.9361,17.3576,17.9361,17.9361,17.3576,17.9361,17.3576,17.9361,  211.1835
    ,Fuel2       , 0.5673, 0.6202,0.36425,0.72105,0.84753,0.16305,0.83327,0.24986,     0.,0.20708, 1.6098,0.34127,   6.52466                                                                                                                                                      

    ,Total Hydro ,2.44776,2.10308,2.65081,2.19675,2.16753,2.75475,2.18179, 2.7652, 2.9178,2.80798,  1.308,2.67379,  28.97524
    ,Total Therm ,18.5034,16.8206,18.3004,18.0786,18.7837,17.5206,18.7694, 18.186,17.3576,18.1432,18.9674,18.2774,  217.7082
    ,Total Renew ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Batt. ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Inject,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Total Gener ,20.9512,18.9237,20.9512,20.2754,20.9512,20.2754,20.9512,20.9512,20.2754,20.9512,20.2754,20.9512,  246.6834
    ,Excess Gener,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Imports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Exports     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Losses      ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Load        ,20.9511,18.9237,20.9511,20.2754,20.9511,20.2754,20.9511,20.9511,20.2754,20.9511,20.2754,20.9511,  246.6832
    ,Spot Market ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.
    ,Deficit     ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,        0.                                                                                                                                                      
