Varies per block?       ,    1,Unit    ,GWh    ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,T1          ,T2                                        
   3,   1,   9, 0.77500    ,  0.0000                                  
   3,   1,  10, 0.77500    ,  0.0000                                  
   3,   1,  11, 0.77500    ,  0.0000                                  
   3,   1,  12, 0.49164    ,  0.0000                                  
   3,   1,  13, 0.77500    ,  0.0000                                  
   3,   1,  14, 0.77500    ,  0.0000                                  
   3,   1,  15, 0.77500    ,  0.0000                                  
   3,   1,  16, 0.77500    ,  0.0000                                  
   3,   1,  17, 0.77500    ,  0.0000                                  
   3,   1,  18, 0.77500    ,  0.0000                                  
   3,   1,  19, 0.63627    ,  0.0000                                  
   3,   1,  20, 0.77500    ,  0.0000                                  
   3,   1,  21, 0.77500    ,  0.0000                                  
   3,   1,  22, 0.62992    ,  0.0000                                  
   3,   1,  23, 0.77500    ,  0.0000                                  
   3,   1,  24, 0.77500    ,  0.0000                                  
   4,   1,   1, 0.60960    ,  0.0000                                  
   4,   1,   2, 0.75000    ,  0.0000                                  
   4,   1,   3, 0.75000    ,  0.0000                                  
   4,   1,   4, 0.75000    ,  0.0000                                  
   4,   1,   5, 0.75000    ,  0.0000                                  
   4,   1,   6, 0.66315    ,  0.0000                                  
   4,   1,   7, 0.75000    ,  0.0000                                  
   4,   1,   8, 0.75000    ,  0.0000                                  
   4,   1,   9, 0.73170    ,  0.0000                                  
   4,   1,  10, 0.75000    ,  0.0000                                  
   4,   1,  11, 0.75000    ,  0.0000                                  
   4,   1,  12, 0.62685    ,  0.0000                                  
   4,   1,  13, 0.75000    ,  0.0000                                  
   4,   1,  14, 0.61575    ,  0.0000                                  
   4,   1,  15, 0.75000    ,  0.0000                                  
   4,   1,  16, 0.75000    ,  0.0000                                  
   4,   1,  17, 0.75000    ,  0.0000                                  
   4,   1,  18, 0.75000    ,  0.0000                                  
   4,   1,  19, 0.75000    ,  0.0000                                  
   4,   1,  20, 0.75000    ,  0.0000                                  
   4,   1,  21, 0.75000    ,  0.0000                                  
   4,   1,  22, 0.75000    ,  0.0000                                  
   4,   1,  23, 0.61050    ,  0.0000                                  
   4,   1,  24, 0.75000    ,  0.0000                                  
   5,   1,   1, 0.77500    ,  0.0000                                  
   5,   1,   2, 0.68525    ,  0.0000                                  
   5,   1,   3, 0.77500    ,  0.0000                                  
   5,   1,   4, 0.77500    ,  0.0000                                  
   5,   1,   5, 0.63085    ,  0.0000                                  
   5,   1,   6, 0.77500    ,  0.0000                                  
   5,   1,   7, 0.75609    ,  0.0000                                  
   5,   1,   8, 0.77500    ,  0.0000                                  
   5,   1,   9, 0.77500    ,  0.0000                                  
   5,   1,  10, 0.77500    ,  0.0000                                  
   5,   1,  11, 0.77500    ,  0.0000                                  
   5,   1,  12, 0.64775    ,  0.0000                                  
   5,   1,  13, 0.77500    ,  0.0000                                  
   5,   1,  14, 0.77500    ,  0.0000                                  
   5,   1,  15, 0.77500    ,  0.0000                                  
   5,   1,  16, 0.77500    ,  0.0000                                  
   5,   1,  17, 0.77500    ,  0.0000                                  
   5,   1,  18, 0.77500    ,  0.0000                                  
   5,   1,  19, 0.63627    ,  0.0000                                  
   5,   1,  20, 0.77500    ,  0.0000                                  
   5,   1,  21, 0.77500    ,  0.0000                                  
   5,   1,  22, 0.62992    ,  0.0000                                  
   5,   1,  23, 0.77500    ,  0.0000                                  
   5,   1,  24, 0.77500    ,  0.0000                                  
   6,   1,   1, 0.30960    ,  0.0000                                  
   6,   1,   2, 0.70125    ,  0.0000                                  
   6,   1,   3, 0.75000    ,  0.0000                                  
   6,   1,   4, 0.75000    ,  0.0000                                  
   6,   1,   5, 0.75000    ,  0.0000                                  
   6,   1,   6, 0.66315    ,  0.0000                                  
   6,   1,   7, 0.75000    ,  0.0000                                  
   6,   1,   8, 0.75000    ,  0.0000                                  
   6,   1,   9, 0.73170    ,  0.0000                                  
   6,   1,  10, 0.75000    ,  0.0000                                  
   6,   1,  11, 0.75000    ,  0.0000                                  
   6,   1,  12, 0.62685    ,  0.0000                                  
   6,   1,  13, 0.49673    ,  0.0000                                  
   6,   1,  14, 0.61575    ,  0.0000                                  
   6,   1,  15, 0.75000    ,  0.0000                                  
   6,   1,  16, 0.75000    ,  0.0000                                  
   6,   1,  17, 0.75000    ,  0.0000                                  
   6,   1,  18, 0.75000    ,  0.0000                                  
   6,   1,  19, 0.75000    ,  0.0000                                  
   6,   1,  20, 0.75000    ,  0.0000                                  
   6,   1,  21, 0.75000    ,  0.0000                                  
   6,   1,  22, 0.75000    ,  0.0000                                  
   6,   1,  23, 0.61050    ,  0.0000                                  
   6,   1,  24, 0.75000    ,  0.0000                                  
   7,   1,   1, 0.68262    ,  0.0000                                  
   7,   1,   2, 0.37525    ,  0.0000                                  
   7,   1,   3, 0.77500    ,  0.0000                                  
   7,   1,   4, 0.77500    ,  0.0000                                  
   7,   1,   5, 0.63085    ,  0.0000                                  
   7,   1,   6, 0.77500    ,  0.0000                                  
   7,   1,   7, 0.75609    ,  0.0000                                  
   7,   1,   8, 0.77500    ,  0.0000                                  
   7,   1,   9, 0.77500    ,  0.0000                                  
   7,   1,  10, 0.77500    ,  0.0000                                  
   7,   1,  11, 0.77500    ,  0.0000                                  
   7,   1,  12, 0.51295    ,  0.0000                                  
   7,   1,  13, 0.77500    ,  0.0000                                  
   7,   1,  14, 0.77500    ,  0.0000                                  
   7,   1,  15, 0.77500    ,  0.0000                                  
   7,   1,  16, 0.77500    ,  0.0000                                  
   7,   1,  17, 0.77500    ,  0.0000                                  
   7,   1,  18, 0.77500    ,  0.0000                                  
   7,   1,  19, 0.63627    ,  0.0000                                  
   7,   1,  20, 0.77500    ,  0.0000                                  
   7,   1,  21, 0.77500    ,  0.0000                                  
   7,   1,  22, 0.62992    ,  0.0000                                  
   7,   1,  23, 0.77500    ,  0.0000                                  
   7,   1,  24, 0.77500    ,  0.0000                                  
   8,   1,   1, 0.77500    ,  0.0000                                  
   8,   1,   2, 0.68525    ,  0.0000                                  
   8,   1,   3, 0.77500    ,  0.0000                                  
   8,   1,   4, 0.77500    ,  0.0000                                  
   8,   1,   5, 0.63085    ,  0.0000                                  
   8,   1,   6, 0.77500    ,  0.0000                                  
   8,   1,   7, 0.75609    ,  0.0000                                  
   8,   1,   8, 0.77500    ,  0.0000                                  
   8,   1,   9, 0.77500    ,  0.0000                                  
   8,   1,  10, 0.77500    ,  0.0000                                  
   8,   1,  11, 0.77500    ,  0.0000                                  
   8,   1,  12, 0.64775    ,  0.0000                                  
   8,   1,  13, 0.77500    ,  0.0000                                  
   8,   1,  14, 0.77500    ,  0.0000                                  
   8,   1,  15, 0.77500    ,  0.0000                                  
   8,   1,  16, 0.77500    ,  0.0000                                  
   8,   1,  17, 0.77500    ,  0.0000                                  
   8,   1,  18, 0.77500    ,  0.0000                                  
   8,   1,  19, 0.63627    ,  0.0000                                  
   8,   1,  20, 0.77500    ,  0.0000                                  
   8,   1,  21, 0.77500    ,  0.0000                                  
   8,   1,  22, 0.62992    ,  0.0000                                  
   8,   1,  23, 0.77500    ,  0.0000                                  
   8,   1,  24, 0.77500    ,  0.0000                                  
   9,   1,   1, 0.60810    ,  0.0000                                  
   9,   1,   2, 0.75000    ,  0.0000                                  
   9,   1,   3, 0.75000    ,  0.0000                                  
   9,   1,   4, 0.75000    ,  0.0000                                  
   9,   1,   5, 0.75000    ,  0.0000                                  
   9,   1,   6, 0.66315    ,  0.0000                                  
   9,   1,   7, 0.75000    ,  0.0000                                  
   9,   1,   8, 0.75000    ,  0.0000                                  
   9,   1,   9, 0.73170    ,  0.0000                                  
   9,   1,  10, 0.75000    ,  0.0000                                  
   9,   1,  11, 0.75000    ,  0.0000                                  
   9,   1,  12, 0.62685    ,  0.0000                                  
   9,   1,  13, 0.75000    ,  0.0000                                  
   9,   1,  14, 0.61575    ,  0.0000                                  
   9,   1,  15, 0.75000    ,  0.0000                                  
   9,   1,  16, 0.75000    ,  0.0000                                  
   9,   1,  17, 0.75000    ,  0.0000                                  
   9,   1,  18, 0.75000    ,  0.0000                                  
   9,   1,  19, 0.75000    ,  0.0000                                  
   9,   1,  20, 0.75000    ,  0.0000                                  
   9,   1,  21, 0.75000    ,  0.0000                                  
   9,   1,  22, 0.75000    ,  0.0000                                  
   9,   1,  23, 0.61050    ,  0.0000                                  
   9,   1,  24, 0.75000    ,  0.0000                                  
  10,   1,   1, 0.77500    ,  0.0000                                  
  10,   1,   2, 0.68525    ,  0.0000                                  
  10,   1,   3, 0.77500    ,  0.0000                                  
  10,   1,   4, 0.77500    ,  0.0000                                  
  10,   1,   5, 0.63085    ,  0.0000                                  
  10,   1,   6, 0.77500    ,  0.0000                                  
  10,   1,   7, 0.75609    ,  0.0000                                  
  10,   1,   8, 0.77500    ,  0.0000                                  
  10,   1,   9, 0.77500    ,  0.0000                                  
  10,   1,  10, 0.77500    ,  0.0000                                  
  10,   1,  11, 0.77500    ,  0.0000                                  
  10,   1,  12, 0.64775    ,  0.0000                                  
  10,   1,  13, 0.77500    ,  0.0000                                  
  10,   1,  14, 0.77500    ,  0.0000                                  
  10,   1,  15, 0.77500    ,  0.0000                                  
  10,   1,  16, 0.77500    ,  0.0000                                  
  10,   1,  17, 0.77500    ,  0.0000                                  
  10,   1,  18, 0.77500    ,  0.0000                                  
  10,   1,  19, 0.63627    ,  0.0000                                  
  10,   1,  20, 0.77500    ,  0.0000                                  
  10,   1,  21, 0.77500    ,  0.0000                                  
  10,   1,  22, 0.62992    ,  0.0000                                  
  10,   1,  23, 0.77500    ,  0.0000                                  
  10,   1,  24, 0.77500    ,  0.0000                                  
  11,   1,   1, 0.60960    ,  0.0000                                  
  11,   1,   2, 0.75000    ,  0.0000                                  
  11,   1,   3, 0.75000    ,  0.0000                                  
  11,   1,   4, 0.75000    ,  0.0000                                  
  11,   1,   5, 0.75000    ,  0.0000                                  
  11,   1,   6, 0.66315    ,  0.0000                                  
  11,   1,   7, 0.75000    ,  0.0000                                  
  11,   1,   8, 0.75000    ,  0.0000                                  
  11,   1,   9, 0.73170    ,  0.0000                                  
  11,   1,  10, 0.75000    ,  0.0000                                  
  11,   1,  11, 0.75000    ,  0.0000                                  
  11,   1,  12, 0.62685    ,  0.0000                                  
  11,   1,  13, 0.75000    ,  0.0000                                  
  11,   1,  14, 0.61575    ,  0.0000                                  
  11,   1,  15, 0.75000    ,  0.0000                                  
  11,   1,  16, 0.75000    ,  0.0000                                  
  11,   1,  17, 0.75000    ,  0.0000                                  
  11,   1,  18, 0.75000    ,  0.0000                                  
  11,   1,  19, 0.75000    ,  0.0000                                  
  11,   1,  20, 0.75000    ,  0.0000                                  
  11,   1,  21, 0.75000    ,  0.0000                                  
  11,   1,  22, 0.75000    ,  0.0000                                  
  11,   1,  23, 0.61050    ,  0.0000                                  
  11,   1,  24, 0.75000    ,  0.0000                                  
  12,   1,   1, 0.68262    ,  0.0000                                  
  12,   1,   2, 0.37525    ,  0.0000                                  
  12,   1,   3, 0.77500    ,  0.0000                                  
  12,   1,   4, 0.77500    ,  0.0000                                  
  12,   1,   5, 0.63085    ,  0.0000                                  
  12,   1,   6, 0.77500    ,  0.0000                                  
  12,   1,   7, 0.75609    ,  0.0000                                  
  12,   1,   8, 0.77500    ,  0.0000                                  
  12,   1,   9, 0.77500    ,  0.0000                                  
  12,   1,  10, 0.77500    ,  0.0000                                  
  12,   1,  11, 0.77500    ,  0.0000                                  
  12,   1,  12, 0.40506    ,  0.0000                                  
  12,   1,  13, 0.77500    ,  0.0000                                  
  12,   1,  14, 0.77500    ,  0.0000                                  
  12,   1,  15, 0.77500    ,  0.0000                                  
  12,   1,  16, 0.77500    ,  0.0000                                  
  12,   1,  17, 0.77500    ,  0.0000                                  
  12,   1,  18, 0.77500    ,  0.0000                                  
  12,   1,  19, 0.63627    ,  0.0000                                  
  12,   1,  20, 0.77500    ,  0.0000                                  
  12,   1,  21, 0.77500    ,  0.0000                                  
  12,   1,  22, 0.62992    ,  0.0000                                  
  12,   1,  23, 0.77500    ,  0.0000                                  
  12,   1,  24, 0.77500    ,  0.0000                                  
