 Operating Cost (k$)
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
                                                                                                                                                      
2016,Fuel1       ,143.489,129.603,143.489, 138.86,143.489, 138.86,143.489,143.489, 138.86,143.489, 138.86,143.489,      1689.
    ,Fuel2       ,33.3239, 24.938,29.7526, 29.484,31.1812, 29.484,30.2169,32.3597,31.1083,29.5027,31.5576,30.2169,       363.                                                                                                                                                      

    ,ThermalCost,176.813,154.541,173.242,168.344, 174.67,168.344,173.706,175.849,169.969,172.992,170.418,173.706,      2053.
    ,Benefits   ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,         0.
    ,DeficitCost,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,         0.                                                                                                                                                      
