Varies per block?       ,    2,Unit    ,m3/s   ,     2,     1,  2016  
Varies per sequence?    ,    1                                        
# of agents             ,    2                                        
Stag,Seq.,Blck,H1          ,H2                                        
   6,   1,   1,  0.0000    ,  0.0000                                  
   6,   1,   2,  0.0000    ,  0.0000                                  
   6,   1,   3,  0.0000    ,  0.0000                                  
   6,   1,   4,  0.0000    ,  0.0000                                  
   6,   1,   5,  128.10    ,  0.0000                                  
   6,   1,   6,  0.0000    ,  0.0000                                  
   6,   1,   7,  68.000    ,  0.0000                                  
   6,   1,   8,  111.10    ,  0.0000                                  
   6,   1,   9,  0.0000    ,  0.0000                                  
   6,   1,  10,  0.0000    ,  0.0000                                  
   6,   1,  11,  0.0000    ,  0.0000                                  
   6,   1,  12,  0.0000    ,  0.0000                                  
   6,   1,  13,  0.0000    ,  0.0000                                  
   6,   1,  14,  0.0000    ,  0.0000                                  
   6,   1,  15,  0.0000    ,  0.0000                                  
   6,   1,  16,  0.0000    ,  0.0000                                  
   6,   1,  17,  0.0000    ,  0.0000                                  
   6,   1,  18,  0.0000    ,  0.0000                                  
   6,   1,  19,  0.0000    ,  0.0000                                  
   6,   1,  20,  0.0000    ,  0.0000                                  
   6,   1,  21,  0.0000    ,  0.0000                                  
   6,   1,  22,  0.0000    ,  0.0000                                  
   6,   1,  23,  0.0000    ,  0.0000                                  
   6,   1,  24,  0.0000    ,  0.0000                                  
   7,   1,   1,  0.0000    ,  0.0000                                  
   7,   1,   2,  0.0000    ,  0.0000                                  
   7,   1,   3,  68.000    ,  0.0000                                  
   7,   1,   4,  0.0000    ,  0.0000                                  
   7,   1,   5,  0.0000    ,  0.0000                                  
   7,   1,   6,  101.40    ,  0.0000                                  
   7,   1,   7,  0.0000    ,  0.0000                                  
   7,   1,   8,  151.24    ,  0.0000                                  
   7,   1,   9,  0.0000    ,  0.0000                                  
   7,   1,  10,  0.0000    ,  0.0000                                  
   7,   1,  11,  0.0000    ,  0.0000                                  
   7,   1,  12,  0.0000    ,  0.0000                                  
   7,   1,  13,  0.0000    ,  0.0000                                  
   7,   1,  14,  0.0000    ,  0.0000                                  
   7,   1,  15,  0.0000    ,  0.0000                                  
   7,   1,  16,  0.0000    ,  0.0000                                  
   7,   1,  17,  0.0000    ,  0.0000                                  
   7,   1,  18,  0.0000    ,  0.0000                                  
   7,   1,  19,  0.0000    ,  0.0000                                  
   7,   1,  20,  0.0000    ,  0.0000                                  
   7,   1,  21,  0.0000    ,  0.0000                                  
   7,   1,  22,  0.0000    ,  0.0000                                  
   7,   1,  23,  0.0000    ,  0.0000                                  
   7,   1,  24,  0.0000    ,  0.0000                                  
   8,   1,   1,  140.40    ,  0.0000                                  
   8,   1,   2,  0.0000    ,  0.0000                                  
   8,   1,   3,  65.040    ,  0.0000                                  
   8,   1,   4,  0.0000    ,  0.0000                                  
   8,   1,   5,  0.0000    ,  0.0000                                  
   8,   1,   6,  0.0000    ,  0.0000                                  
   8,   1,   7,  0.0000    ,  0.0000                                  
   8,   1,   8,  0.0000    ,  0.0000                                  
   8,   1,   9,  0.0000    ,  0.0000                                  
   8,   1,  10,  0.0000    ,  0.0000                                  
   8,   1,  11,  0.0000    ,  0.0000                                  
   8,   1,  12,  0.0000    ,  0.0000                                  
   8,   1,  13,  0.0000    ,  0.0000                                  
   8,   1,  14,  0.0000    ,  0.0000                                  
   8,   1,  15,  0.0000    ,  0.0000                                  
   8,   1,  16,  0.0000    ,  0.0000                                  
   8,   1,  17,  0.0000    ,  0.0000                                  
   8,   1,  18,  0.0000    ,  0.0000                                  
   8,   1,  19,  0.0000    ,  0.0000                                  
   8,   1,  20,  0.0000    ,  0.0000                                  
   8,   1,  21,  0.0000    ,  0.0000                                  
   8,   1,  22,  0.0000    ,  0.0000                                  
   8,   1,  23,  0.0000    ,  0.0000                                  
   8,   1,  24,  0.0000    ,  0.0000                                  
   9,   1,   1,  0.0000    ,  0.0000                                  
   9,   1,   2,  167.50    ,  0.0000                                  
   9,   1,   3,  49.460    ,  0.0000                                  
   9,   1,   4,  0.0000    ,  0.0000                                  
   9,   1,   5,  0.0000    ,  0.0000                                  
   9,   1,   6,  0.0000    ,  0.0000                                  
   9,   1,   7,  0.0000    ,  0.0000                                  
   9,   1,   8,  0.0000    ,  0.0000                                  
   9,   1,   9,  0.0000    ,  0.0000                                  
   9,   1,  10,  0.0000    ,  0.0000                                  
   9,   1,  11,  0.0000    ,  0.0000                                  
   9,   1,  12,  0.0000    ,  0.0000                                  
   9,   1,  13,  0.0000    ,  0.0000                                  
   9,   1,  14,  0.0000    ,  0.0000                                  
   9,   1,  15,  0.0000    ,  0.0000                                  
   9,   1,  16,  0.0000    ,  0.0000                                  
   9,   1,  17,  0.0000    ,  0.0000                                  
   9,   1,  18,  0.0000    ,  0.0000                                  
   9,   1,  19,  0.0000    ,  0.0000                                  
   9,   1,  20,  0.0000    ,  0.0000                                  
   9,   1,  21,  0.0000    ,  0.0000                                  
   9,   1,  22,  0.0000    ,  0.0000                                  
   9,   1,  23,  0.0000    ,  0.0000                                  
   9,   1,  24,  0.0000    ,  0.0000                                  
  10,   1,   1,  140.40    ,  0.0000                                  
  10,   1,   2,  0.0000    ,  0.0000                                  
  10,   1,   3,  68.000    ,  0.0000                                  
  10,   1,   4,  0.0000    ,  0.0000                                  
  10,   1,   5,  0.0000    ,  0.0000                                  
  10,   1,   6,  101.40    ,  0.0000                                  
  10,   1,   7,  0.0000    ,  0.0000                                  
  10,   1,   8,  49.240    ,  0.0000                                  
  10,   1,   9,  0.0000    ,  0.0000                                  
  10,   1,  10,  0.0000    ,  0.0000                                  
  10,   1,  11,  0.0000    ,  0.0000                                  
  10,   1,  12,  0.0000    ,  0.0000                                  
  10,   1,  13,  0.0000    ,  0.0000                                  
  10,   1,  14,  0.0000    ,  0.0000                                  
  10,   1,  15,  0.0000    ,  0.0000                                  
  10,   1,  16,  0.0000    ,  0.0000                                  
  10,   1,  17,  0.0000    ,  0.0000                                  
  10,   1,  18,  0.0000    ,  0.0000                                  
  10,   1,  19,  0.0000    ,  0.0000                                  
  10,   1,  20,  0.0000    ,  0.0000                                  
