 Marginal cost per stage per sub-system ($/MWh)
                                                                                                                                                      
 Stage,S1          
"2016/01",9.688437
"2016/02",9.688437
"2016/03",9.688437
"2016/04",9.688437
"2016/05",9.688437
"2016/06",9.688437
"2016/07",9.688437
"2016/08",9.688437
"2016/09",9.688437
"2016/10",9.688437
"2016/11",9.688437
"2016/12",9.688437
