 Operating Cost (k$)
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
                                                                                                                                                      
2016,Fuel1       ,108.871,98.3348,108.871,105.359,108.871,105.359,108.871,108.871,105.359,108.871,105.359,108.871,      1282.
    ,Fuel2       ,88.1083,79.5815,88.1083,85.2658,88.1083,85.2658,88.1083,88.1083,85.2658,88.1083,85.2658,88.1083,      1037.                                                                                                                                                      

    ,ThermalCost,196.979,177.916,196.979,190.625,196.979,190.625,196.979,196.979,190.625,196.979,190.625,196.979,      2319.
    ,Benefits   ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,         0.
    ,DeficitCost,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,         0.                                                                                                                                                      
