 Operating Cost (k$)
                                                                                                                                                      
 Year,Plant,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
                                                                                                                                                      
2016,Fuel1       ,148.412,134.049,148.412,143.624,148.412,143.624,148.412,148.412,143.624,148.412,143.624,148.412,      1747.
    ,Fuel2       ,79.0612,71.4101,79.0612,76.5109,79.0612,76.5109,79.0612,79.0612,76.5109,79.0612,76.5109,79.0612,       931.                                                                                                                                                      

    ,ThermalCost,227.473,205.459,227.473,220.135,227.473,220.135,227.473,227.473,220.135,227.473,220.135,227.473,      2678.
    ,Benefits   ,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,         0.
    ,DeficitCost,   1.55,    1.4,   1.55,    1.5,   1.55,    1.5,   1.55,   1.55,    1.5,   1.55,    1.5,   1.55,        18.                                                                                                                                                      
