Varies per block?       ,    0,Unit    ,k$     ,     2,     1,  2016  
Varies per sequence?    ,    0                                        
# of agents             ,    3                                        
Stag,Seq.,Blck,P10         ,Average     ,P90                          
   1,   1,   1,      229.02,      229.02,      229.02                 
   2,   1,   1,      206.86,      206.86,      206.86                 
   3,   1,   1,      229.02,      229.02,      229.02                 
   4,   1,   1,      221.63,      221.63,      221.63                 
   5,   1,   1,      229.02,      229.02,      229.02                 
   6,   1,   1,      221.63,      221.63,      221.63                 
   7,   1,   1,      229.02,      229.02,      229.02                 
   8,   1,   1,      229.02,      229.02,      229.02                 
   9,   1,   1,      221.63,      221.63,      221.63                 
  10,   1,   1,      229.02,      229.02,      229.02                 
  11,   1,   1,      221.63,      221.63,      221.63                 
  12,   1,   1,      229.02,      229.02,      229.02                 
